date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:29	20/20	---MCZ	200	added ('OK')	text/plain	date:Fri,%2013%20Dec%202024%2014:48:34%20GMT	https://bushido-6126a6.webflow.io/robots.txt		(from )
15:35:29	32775/32775	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Dec%202024%2002:36:57%20GMT	https://bushido-6126a6.webflow.io/	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/bushido-6126a6.webflow.io/index.html	(from )
15:35:30	116772/116772	---M-Z	200	added ('OK')	text/css	etag:%2265d9e2210f58a4bd8c94c20b14d1e4d1%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/css/bushido-6126a6.webflow.e05d48e28.css	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/css/bushido-6126a6.webflow.e05d48e28.css	(from https://bushido-6126a6.webflow.io/)
15:35:30	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Dec%202024%2023:35:30%20GMT	https://fonts.gstatic.com/	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/fonts.gstatic.com/index.html	(from https://bushido-6126a6.webflow.io/)
15:35:30	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://bushido-6126a6.webflow.io/)
15:35:30	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Dec%202024%2023:35:30%20GMT	https://fonts.googleapis.com/	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/fonts.googleapis.com/index.html	(from https://bushido-6126a6.webflow.io/)
15:35:30	884/884	---M--	200	added ('OK')	image/png	etag:%22c4e8bf841f3934fb3e935e0902ad6fe2%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/63442f8ddb1475414397fbd8_Favicon.png	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/63442f8ddb1475414397fbd8_Favicon.png	(from https://bushido-6126a6.webflow.io/)
15:35:30	4981/4981	---M--	200	added ('OK')	image/png	etag:%223ed8b72adbe6571b2dc29702b8b4745a%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/63442f92491c8651a1c9e6b3_Webclip.png	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/63442f92491c8651a1c9e6b3_Webclip.png	(from https://bushido-6126a6.webflow.io/)
15:35:30	16325/16325	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2023:33:56%20GMT	https://bushido-6126a6.webflow.io/universe	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/bushido-6126a6.webflow.io/universe.html	(from https://bushido-6126a6.webflow.io/)
15:35:31	29915/29915	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2023:33:53%20GMT	https://bushido-6126a6.webflow.io/bushidos	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/bushido-6126a6.webflow.io/bushidos.html	(from https://bushido-6126a6.webflow.io/)
15:35:31	14037/14037	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2016:57:52%20GMT	https://bushido-6126a6.webflow.io/exchange/dashboard	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/bushido-6126a6.webflow.io/exchange/dashboard.html	(from https://bushido-6126a6.webflow.io/)
15:35:31	6420/6420	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2013%20Dec%202024%2023:35:32%20GMT	https://bushido-6126a6.webflow.io/%22https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/631f24b9309f5e3920761369_Header%20video%20background-Compressed-poster-00001.jpg%22	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/bushido-6126a6.webflow.io/_https_/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/631f24b9309f5e3920761369_Header%20video%20background-Compressed-poster-00001.jpg_	(from https://bushido-6126a6.webflow.io/)
15:35:31	5488/5488	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225adca5257fa6c44bd8c0a12c11038bd3%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/631f28e24bc717ac5b6f5473_Logo.svg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/631f28e24bc717ac5b6f5473_Logo.svg	(from https://bushido-6126a6.webflow.io/)
15:35:32	6420/6420	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2013%20Dec%202024%2023:35:32%20GMT	https://bushido-6126a6.webflow.io/exchange/bundles	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/bushido-6126a6.webflow.io/exchange/bundles	(from https://bushido-6126a6.webflow.io/)
15:35:32	1860091/1860091	---M--	200	added ('OK')	image/jpeg	etag:%2233e2c39d6413766e11b40925a0c25675%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092faa3bbee323a7667f3_Universe.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092faa3bbee323a7667f3_Universe.jpg	(from https://bushido-6126a6.webflow.io/)
15:35:32	361177/361177	---M--	200	added ('OK')	image/jpeg	etag:%22c3bdb79af4e04b7f7b8c2addc536a72a%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092fa37d74b23761f3e0f_Minting.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092fa37d74b23761f3e0f_Minting.jpg	(from https://bushido-6126a6.webflow.io/)
15:35:32	361896/361896	---M--	200	added ('OK')	image/jpeg	etag:%22c9e628da2216a412346c947cc1b63d06%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092fae7940bdf46bc8e9d_trading.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092fae7940bdf46bc8e9d_trading.jpg	(from https://bushido-6126a6.webflow.io/)
15:35:33	1398908/1398908	---M--	200	added ('OK')	image/jpeg	etag:%22a158b3e4202dc8c75ecb281966bfecae%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092fad1d6581eb9d9cc8b_Meet%20the%20fighters.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092fad1d6581eb9d9cc8b_Meet%20the%20fighters.jpg	(from https://bushido-6126a6.webflow.io/)
15:35:33	455462/455462	---M--	200	added ('OK')	image/jpeg	etag:%22e90d174cd27714cc88d7a4b7f108d06e%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092fa99643a5169dcaa74_Maiar.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092fa99643a5169dcaa74_Maiar.jpg	(from https://bushido-6126a6.webflow.io/)
15:35:33	418475/418475	---M--	200	added ('OK')	image/jpeg	etag:%222821924a93e4a7eec2a04bc215983d69%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092fa93e4911753e6d3d1_Battle%20%26%20earn.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632092fa93e4911753e6d3d1_Battle%20&%20earn.jpg	(from https://bushido-6126a6.webflow.io/)
15:35:33	308916/308916	---M--	200	added ('OK')	image/png	etag:%22fd8c2fd93a2ceeaa97df16c38e1201a9%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632227801eab446270850205_Creator%201.png	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632227801eab446270850205_Creator%201.png	(from https://bushido-6126a6.webflow.io/)
15:35:33	174852/174852	---M--	200	added ('OK')	image/jpeg	etag:%22527ef756af6574899a0af8153c47ff4e%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/6322287626665c40bfbf5f24_Bgcreator.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/6322287626665c40bfbf5f24_Bgcreator.jpg	(from https://bushido-6126a6.webflow.io/)
15:35:34	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=631f0ee0710d8d51fa44a632	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8006d.js	(from https://bushido-6126a6.webflow.io/)
15:35:34	643652/643652	---M-Z	200	added ('OK')	text/javascript	etag:%2242e01d98f232fc008452b2d0468a7a12%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/js/webflow.36e71da6c.js	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/js/webflow.36e71da6c.js	(from https://bushido-6126a6.webflow.io/)
15:35:35	1284/1284	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222b05e7d68db45fbb529749f58a6ec233%22	https://d3e54v103j8qbb.cloudfront.net/static/youtube-placeholder.2b05e7d68d.svg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/d3e54v103j8qbb.cloudfront.net/static/youtube-placeholder.2b05e7d68d.svg	(from https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/css/bushido-6126a6.webflow.e05d48e28.css)
15:35:35	95170/95170	---M--	200	added ('OK')	image/jpeg	etag:%22af3775e9c1e37eda87b1475a3571b752%22	https://uploads-ssl.webflow.com/631f0ee0710d8d51fa44a632/633c077a59026f6ae6cf0bca_Frame%2028.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/uploads-ssl.webflow.com/631f0ee0710d8d51fa44a632/633c077a59026f6ae6cf0bca_Frame%2028.jpg	(from https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/css/bushido-6126a6.webflow.e05d48e28.css)
15:35:35	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2013%20Dec%202024%2023:35:35%20GMT	https://fonts.googleapis.com/robots.txt		(from https://bushido-6126a6.webflow.io/)
15:35:36	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Dec%202024%2023:35:36%20GMT	https://fonts.gstatic.com/robots.txt		(from https://bushido-6126a6.webflow.io/)
15:35:36	155543/155543	---M--	200	added ('OK')	image/jpeg	etag:%2261a6b54dfa3c6900eb4f31fdcbb6eab7%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/634521a04b747e5432d822a0_Characters%20-%20Banner%201.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/634521a04b747e5432d822a0_Characters%20-%20Banner%201.jpg	(from https://bushido-6126a6.webflow.io/universe)
15:35:36	2794990/2794990	---M--	200	added ('OK')	image/jpeg	etag:%22dc6d05f19ba835020be9accf4101206d%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/63297b88c56c8a251de794f1_Universe%20Image.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/63297b88c56c8a251de794f1_Universe%20Image.jpg	(from https://bushido-6126a6.webflow.io/universe)
15:35:36	102768/102768	---M--	200	added ('OK')	image/jpeg	etag:%225c7cff2a416e0de91d98a5ac6540a3fc%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/63451e3ba793564a9cb6bf18_Gi-Test2%201.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/63451e3ba793564a9cb6bf18_Gi-Test2%201.jpg	(from https://bushido-6126a6.webflow.io/universe)
15:35:37	93886/93886	---M--	200	added ('OK')	image/jpeg	etag:%22c0d069fcf3db64e476bcdc6814dbc3f6%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/634518839ec4b555e566f326_LOre%201.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/634518839ec4b555e566f326_LOre%201.jpg	(from https://bushido-6126a6.webflow.io/universe)
15:35:37	101222/101222	---M--	200	added ('OK')	image/jpeg	etag:%22982e2a9d89111ff066259b4a3e15f7bf%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/634518831d82298150ef9bba_Jin%20lore%201.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/634518831d82298150ef9bba_Jin%20lore%201.jpg	(from https://bushido-6126a6.webflow.io/universe)
15:35:37	881593/881593	---M--	200	added ('OK')	image/jpeg	etag:%22727c344fb7edcf111d5a937880544e53%22	https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632acbe8530c5718f253df8c_Bushidos.jpg	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/632acbe8530c5718f253df8c_Bushidos.jpg	(from https://bushido-6126a6.webflow.io/bushidos)
15:35:37	6420/6420	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2013%20Dec%202024%2023:35:38%20GMT	https://bushido-6126a6.webflow.io/%22https://cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/6331728b91251546099d77c7_Meyio-poster-00001.jpg%22	C:/Users/mkhal/OneDrive/Desktop/LARP/BUSHIDO/bushido-6126a6.webflow.io/_https_/cdn.prod.website-files.com/631f0ee0710d8d51fa44a632/6331728b91251546099d77c7_Meyio-poster-00001.1c.delayed	(from https://bushido-6126a6.webflow.io/bushidos)
